Image Index,Model,Attribution Method,Layer,Metric,Upscale Method,Value
124,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.25757215051927596
124,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.09459150582551956
125,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.6635636601994644
125,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-9.388437320012599e-05
126,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.2142365962972716
126,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.014098035171627998
127,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5562544574751426
127,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.23930615186691284
0,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.30357350843577713
0,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,-0.018664028495550156
1,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.4574743740447522
1,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,0.00017925724387168884
2,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.41101008170056286
2,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,-0.1586969792842865
3,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.2178401184562676
3,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,0.025199785828590393
4,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.8149361957931711
4,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,-0.0006656079785898328
5,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.1432287874330676
5,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,-0.132654070854187
6,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.1723789708455845
6,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,0.009941359981894493
7,VGG11,_GradCAMPlusPlus,features.10,roc_auc,SimpleUpsampling,0.21745232137278137
7,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,-0.12538576126098633
